Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts,Date
Perfect,Ed Sheeran,55,60,30,109,2022-10-15
Lokera,"Rauw Alejandro, Lyanno & Brray",56,61,56,8,2022-10-15
Vegas,Doja Cat,57,56,28,19,2022-10-15
After Like,IVE,58,54,20,7,2022-10-15
Evergreen,Omar Apollo,59,68,59,3,2022-10-15
Enemy,Imagine Dragons X JID,60,58,3,49,2022-10-15
The Kind Of Love We Make,Luke Combs,61,65,38,16,2022-10-15
Tarot,Bad Bunny & Jhay Cortez,62,62,9,22,2022-10-15
Tomorrow 2,GloRilla & Cardi B,63,39,39,2,2022-10-15
No Se Va,Grupo Frontera,64,132,64,2,2022-10-15
Break My Soul,Beyonce,65,57,6,16,2022-10-15
Golden Hour,JVKE,66,71,66,6,2022-10-15
Forget Me,Lewis Capaldi,67,63,48,4,2022-10-15
Mary On A Cross,Ghost,68,59,50,7,2022-10-15
Happier Than Ever,Billie Eilish,69,72,6,62,2022-10-15
You Proof,Morgan Wallen,70,70,22,21,2022-10-15
Party,Bad Bunny & Rauw Alejandro,71,66,8,22,2022-10-15
Starboy,The Weeknd Featuring Daft Punk,72,74,52,66,2022-10-15
Feliz Cumpleanos Ferxxo,Feid,73,87,73,5,2022-10-15
Hype Boy,NewJeans,74,67,52,9,2022-10-15
Talk That Talk,TWICE,75,64,18,6,2022-10-15
The Blessing,YOASOBI,76,-,76,1,2022-10-15
Last Last,Burna Boy,77,69,39,18,2022-10-15
Baby Shark,Pinkfong,78,95,38,108,2022-10-15
I Wanna Be Yours,Arctic Monkeys,79,103,79,5,2022-10-15
Believer,Imagine Dragons,80,82,52,109,2022-10-15
Yellow,Coldplay,81,73,68,78,2022-10-15
Pepas,Farruko,82,80,7,64,2022-10-15
Ku Lo Sa,Oxlade,83,79,79,5,2022-10-15
Ghost,Justin Bieber,84,78,16,55,2022-10-15
Bam Bam,Camila Cabello Featuring Ed Sheeran,85,76,5,31,2022-10-15
Dandelions,Ruth B.,86,88,51,38,2022-10-15
Te Felicito,Shakira & Rauw Alejandro,87,81,11,24,2022-10-15
Industry Baby,Lil Nas X & Jack Harlow,88,85,2,63,2022-10-15
Someone You Loved,Lewis Capaldi,89,84,24,109,2022-10-15
Easy On Me,Adele,90,90,1,52,2022-10-15
Numb,Marshmello & Khalid,91,86,66,17,2022-10-15
Unstoppable,Sia,92,89,83,34,2022-10-15
Shape Of You,Ed Sheeran,93,97,55,109,2022-10-15
505,Arctic Monkeys,94,105,94,33,2022-10-15
New Genesis,Ado,95,77,20,10,2022-10-15
La Corriente,Bad Bunny & Tony Dize,96,93,17,22,2022-10-15
Billie Eilish.,Armani White,97,92,87,5,2022-10-15
First Class,Jack Harlow,98,83,2,26,2022-10-15
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,99,96,89,12,2022-10-15
Rock And A Hard Place,Bailey Zimmerman,100,100,59,17,2022-10-15
Sweet Child O' Mine,Guns N' Roses,101,107,57,78,2022-10-15
Belki,Dedubluman Featuring Mavzer Tabancas,102,-,102,1,2022-10-15
I'm Not The Only One,Sam Smith,103,94,94,7,2022-10-15
Bamba,Luciano & Aitch Featuring BIA,104,91,91,2,2022-10-15
Lovely,Billie Eilish & Khalid,105,112,70,109,2022-10-15
Baby Otaku,Pablo Pesadilla x Polima Westcoast x Nicko OG,106,177,106,2,2022-10-15
Ojos Marrones,Lasso,107,104,66,14,2022-10-15
Watermelon Sugar,Harry Styles,108,99,9,109,2022-10-15
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,109,109,41,109,2022-10-15
One Kiss,Calvin Harris & Dua Lipa,110,106,43,19,2022-10-15
2 Be Loved (Am I Ready),Lizzo,111,101,101,5,2022-10-15
Caile,Luar La L,112,108,67,8,2022-10-15
Without Me,Eminem,113,117,39,52,2022-10-15
I Really Want To Stay At Your House,Rosa Walton,114,138,114,2,2022-10-15
abcdefu,GAYLE,115,114,1,47,2022-10-15
Ultra Solo,Polima WestCoast Featuring Pailita,116,98,24,23,2022-10-15
Call Out My Name,The Weeknd,117,111,97,16,2022-10-15
Vista Al Mar,Quevedo,118,130,118,3,2022-10-15
Do I Wanna Know?,Arctic Monkeys,119,126,119,20,2022-10-15
Circles,Post Malone,120,113,49,109,2022-10-15
Attention,NewJeans,121,110,54,9,2022-10-15
Shinunoga E-Wa,Fujii Kaze,122,118,118,4,2022-10-15
Only Love Can Hurt Like This,Paloma Faith,123,115,75,21,2022-10-15
I Was Never There,The Weeknd Featuring Gesaffelstein,124,119,119,11,2022-10-15
MAMIII,Becky G X Karol G,125,121,4,34,2022-10-15
Shallow,Lady Gaga & Bradley Cooper,126,131,59,109,2022-10-15
Murder In My Mind,Kordhell,127,116,113,8,2022-10-15
No Role Modelz,J. Cole,128,137,97,68,2022-10-15
Viva La Vida,Coldplay,129,120,114,7,2022-10-15
Counting Stars,OneRepublic,130,134,96,84,2022-10-15
Middle Of The Night,Elley Duhe,131,124,25,38,2022-10-15
Dance Monkey,Tones And I,132,127,16,109,2022-10-15
Despues de La Playa,Bad Bunny,133,122,7,22,2022-10-15
Dynamite,BTS,134,135,1,109,2022-10-15
Dark Red,Steve Lacy,135,142,132,30,2022-10-15
La Cancion,J Balvin & Bad Bunny,136,125,123,25,2022-10-15
The Hills,The Weeknd,137,141,44,38,2022-10-15
Bound 2,Kanye West,138,123,104,5,2022-10-15
Don't Start Now,Dua Lipa,139,139,30,109,2022-10-15
"Sex, Drugs, Etc.",Beach Weather,140,162,140,5,2022-10-15
Where Are You Now,Lost Frequencies & Calum Scott,141,133,22,56,2022-10-15
Something Just Like This,The Chainsmokers & Coldplay,142,128,102,92,2022-10-15
Atlantis,Seafret,143,146,140,6,2022-10-15
Typa Girl,BLACKPINK,144,75,16,3,2022-10-15
Smells Like Teen Spirit,Nirvana,145,143,92,90,2022-10-15
Butter,BTS,146,175,1,72,2022-10-15
Wasted On You,Morgan Wallen,147,149,19,37,2022-10-15
Bohemian Rhapsody,Queen,148,145,97,105,2022-10-15
Love Nwantiti (Ah Ah Ah),CKay,149,147,2,56,2022-10-15
In Da Club,50 Cent,150,161,44,34,2022-10-15
Don't You Worry,"Black Eyed Peas, Shakira + David Guetta",151,129,103,9,2022-10-15
Take Me To Church,Hozier,152,152,123,85,2022-10-15
Desesperados,Rauw Alejandro & Chencho Corleone,153,144,13,42,2022-10-15
We Fell In Love In October,girl in red,154,-,154,1,2022-10-15
All Too Well (Taylor's Version),Taylor Swift,155,173,1,29,2022-10-15
Uh Oh,Tate McRae,156,-,156,1,2022-10-15
Dakiti,Bad Bunny & Jhay Cortez,157,164,1,101,2022-10-15
Woman,Doja Cat,158,158,11,64,2022-10-15
Good 4 U,Olivia Rodrigo,159,151,1,73,2022-10-15
Lose Yourself,Eminem,160,182,25,35,2022-10-15
Riptide,Vance Joy,161,160,130,64,2022-10-15
Every Breath You Take,The Police,162,153,107,30,2022-10-15
The Real Slim Shady,Eminem,163,166,59,40,2022-10-15
Everybody Wants To Rule The World,Tears For Fears,164,136,108,18,2022-10-15
Un Ratito,Bad Bunny,165,154,11,22,2022-10-15
How Do I Say Goodbye,Dean Lewis,166,-,166,1,2022-10-15
Don't Stop Believin',Journey,167,171,125,90,2022-10-15
Betty (Get Money),Yung Gravy,168,140,81,13,2022-10-15
Take On Me,a-ha,169,170,139,57,2022-10-15
I'm Invincible,Ado,170,159,74,8,2022-10-15
Static,Steve Lacy,171,163,159,4,2022-10-15
My Universe,Coldplay x BTS,172,150,1,54,2022-10-15
Un Coco,Bad Bunny,173,165,29,22,2022-10-15
Apocalypse,Cigarettes After Sex,174,196,174,2,2022-10-15
Freestyle,Lil Baby,175,169,169,5,2022-10-15
Hotel California,Eagles,176,179,132,93,2022-10-15
Yonaguni,Bad Bunny,177,174,3,70,2022-10-15
Besos Moja2,Wisin & Yandel + Rosalia,178,-,178,1,2022-10-15
Blank Space,Taylor Swift,179,-,157,17,2022-10-15
She Had Me At Heads Carolina,Cole Swindell,180,172,81,15,2022-10-15
Normal,Feid,181,186,75,12,2022-10-15
Billie Jean,Michael Jackson,182,190,137,32,2022-10-15
When I Was Your Man,Bruno Mars,183,195,157,6,2022-10-15
Mr. Brightside,The Killers,184,184,115,67,2022-10-15
Bad Guy,Billie Eilish,185,200,54,106,2022-10-15
Thank God,Kane Brown With Katelyn Brown,186,167,62,4,2022-10-15
Kiss Me More,Doja Cat Featuring SZA,187,199,3,78,2022-10-15
Victoria’s Secret,Jax,188,-,109,9,2022-10-15
Thunderstruck,AC/DC,189,188,162,68,2022-10-15
Dreams,Fleetwood Mac,190,185,10,104,2022-10-15
World's Smallest Violin,AJR,191,192,189,5,2022-10-15
Thunder,Imagine Dragons,192,191,167,41,2022-10-15
Dice,NMIXX,193,155,155,2,2022-10-15
Drivers License,Olivia Rodrigo,194,178,1,91,2022-10-15
Somewhere Only We Know,Keane,195,-,195,1,2022-10-15
Como Dormiste?,Rels B,196,183,51,9,2022-10-15
There's Nothing Holdin' Me Back,Shawn Mendes,197,193,129,33,2022-10-15
The Motto,Tiesto & Ava Max,198,189,17,48,2022-10-15
Thinking Out Loud,Ed Sheeran,199,-,103,72,2022-10-15
For My Hand,Burna Boy Featuring Ed Sheeran,200,180,52,13,2022-10-15
Unholy,Sam Smith & Kim Petras,1,1,1,3,2022-10-22
I'm Good (Blue),David Guetta & Bebe Rexha,2,2,2,7,2022-10-22
As It Was,Harry Styles,3,3,1,28,2022-10-22
Under The Influence,Chris Brown,4,4,4,12,2022-10-22
I Ain't Worried,OneRepublic,5,5,5,19,2022-10-22
La Bachata,Manuel Turizo,6,8,6,14,2022-10-22
Me Porto Bonito,Bad Bunny & Chencho Corleone,7,6,2,23,2022-10-22
Titi Me Pregunto,Bad Bunny,8,7,4,23,2022-10-22
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,9,10,1,14,2022-10-22
Bad Habit,Steve Lacy,10,12,10,14,2022-10-22
Calm Down,Rema & Selena Gomez,11,11,11,15,2022-10-22
Cuff It,Beyonce,12,16,12,11,2022-10-22
Shut Down,BLACKPINK,13,9,1,4,2022-10-22
Super Freaky Girl,Nicki Minaj,14,13,5,9,2022-10-22
Despecha,Rosalia,15,15,6,11,2022-10-22
Another Love,Tom Odell,16,18,16,76,2022-10-22
Efecto,Bad Bunny,17,17,7,23,2022-10-22
Pink Venom,BLACKPINK,18,14,1,8,2022-10-22
Heat Waves,Glass Animals,19,19,1,93,2022-10-22
Snap,Rosa Linn,20,23,18,14,2022-10-22
Ojitos Lindos,Bad Bunny & Bomba Estereo,21,20,4,23,2022-10-22
Save Your Tears,The Weeknd & Ariana Grande,22,24,1,93,2022-10-22
Something In The Orange,Zach Bryan,23,26,23,24,2022-10-22
Moscow Mule,Bad Bunny,24,22,2,23,2022-10-22
Sweater Weather,The Neighbourhood,25,30,25,107,2022-10-22
Hold Me Closer,Elton John & Britney Spears,26,44,6,7,2022-10-22
Stay,The Kid LAROI & Justin Bieber,27,29,1,66,2022-10-22
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,28,27,21,3,2022-10-22
Sunroof,Nicky Youre & dazy,29,28,26,21,2022-10-22
Neverita,Bad Bunny,30,25,16,23,2022-10-22
Cold Heart (PNAU Remix),Elton John & Dua Lipa,31,33,3,61,2022-10-22
Bones,Imagine Dragons,32,38,32,31,2022-10-22
Glimpse Of Us,Joji,33,32,2,18,2022-10-22
Left And Right,Charlie Puth Featuring Jung Kook,34,47,5,16,2022-10-22
Romantic Homicide,d4vd,35,41,35,6,2022-10-22
Die For You,The Weeknd,36,36,36,32,2022-10-22
I Like You (A Happier Song),Post Malone Featuring Doja Cat,37,34,7,19,2022-10-22
Blinding Lights,The Weeknd,38,39,2,110,2022-10-22
No Se Va,Grupo Frontera,39,64,39,3,2022-10-22
Provenza,Karol G,40,31,6,25,2022-10-22
Levitating,Dua Lipa,41,37,2,106,2022-10-22
Running Up That Hill (A Deal With God),Kate Bush,42,35,1,20,2022-10-22
Shivers,Ed Sheeran,43,46,3,57,2022-10-22
About Damn Time,Lizzo,44,40,6,26,2022-10-22
Jimmy Cooks,Drake Featuring 21 Savage,45,43,3,17,2022-10-22
Late Night Talking,Harry Styles,46,45,2,21,2022-10-22
Until I Found You,Stephen Sanchez,47,53,44,22,2022-10-22
Gangsta's Paradise,Coolio Featuring L.V.,48,21,21,65,2022-10-22
Wait For U,Future Featuring Drake & Tems,49,48,2,24,2022-10-22
Bad Habits,Ed Sheeran,50,49,1,68,2022-10-22
B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,51,52,47,7,2022-10-22
Ferrari,James Hype & Miggy Dela Rosa,52,51,25,17,2022-10-22
Gatubela,Karol G x Maldy,53,50,23,7,2022-10-22
Perfect,Ed Sheeran,54,55,30,110,2022-10-22
Lokera,"Rauw Alejandro, Lyanno & Brray",55,56,55,9,2022-10-22
Tomorrow 2,GloRilla & Cardi B,56,63,39,3,2022-10-22
Doja,Central Cee,57,54,19,12,2022-10-22
Celestial,Ed Sheeran,58,42,42,2,2022-10-22
Case 143,Stray Kids,59,-,59,1,2022-10-22
Enemy,Imagine Dragons X JID,60,60,3,50,2022-10-22
Feliz Cumpleanos Ferxxo,Feid,61,73,61,6,2022-10-22
Vegas,Doja Cat,62,57,28,20,2022-10-22
The Kind Of Love We Make,Luke Combs,63,61,38,17,2022-10-22
Kick Back,Kenshi Yonezu,64,-,64,1,2022-10-22
Evergreen,Omar Apollo,65,59,59,4,2022-10-22
You Proof,Morgan Wallen,66,70,22,22,2022-10-22
Golden Hour,JVKE,67,66,66,7,2022-10-22
After Like,IVE,68,58,20,8,2022-10-22
Forget Me,Lewis Capaldi,69,67,48,5,2022-10-22
Starboy,The Weeknd Featuring Daft Punk,70,72,52,67,2022-10-22
Happier Than Ever,Billie Eilish,71,69,6,63,2022-10-22
Break My Soul,Beyonce,72,65,6,17,2022-10-22
I Wanna Be Yours,Arctic Monkeys,73,79,73,6,2022-10-22
Tarot,Bad Bunny & Jhay Cortez,74,62,9,23,2022-10-22
The Loneliest,Maneskin,75,-,75,1,2022-10-22
The Blessing,YOASOBI,76,76,76,2,2022-10-22
Believer,Imagine Dragons,77,80,52,110,2022-10-22
Last Last,Burna Boy,78,77,39,19,2022-10-22
Hype Boy,NewJeans,79,74,52,10,2022-10-22
Yellow,Coldplay,80,81,68,79,2022-10-22
Ku Lo Sa,Oxlade,81,83,79,6,2022-10-22
Dandelions,Ruth B.,82,86,51,39,2022-10-22
Pepas,Farruko,83,82,7,65,2022-10-22
Mary On A Cross,Ghost,84,68,50,8,2022-10-22
Ghost,Justin Bieber,85,84,16,56,2022-10-22
Party,Bad Bunny & Rauw Alejandro,86,71,8,23,2022-10-22
Someone You Loved,Lewis Capaldi,87,89,24,110,2022-10-22
Numb,Marshmello & Khalid,88,91,66,18,2022-10-22
Unstoppable,Sia,89,92,83,35,2022-10-22
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,90,99,89,13,2022-10-22
Baby Shark,Pinkfong,91,78,38,109,2022-10-22
Easy On Me,Adele,92,90,1,53,2022-10-22
Bam Bam,Camila Cabello Featuring Ed Sheeran,93,85,5,32,2022-10-22
Shape Of You,Ed Sheeran,94,93,55,110,2022-10-22
Talk That Talk,TWICE,95,75,18,7,2022-10-22
Industry Baby,Lil Nas X & Jack Harlow,96,88,2,64,2022-10-22
Billie Eilish.,Armani White,97,97,87,6,2022-10-22
I'm Not The Only One,Sam Smith,98,103,94,8,2022-10-22
Rock And A Hard Place,Bailey Zimmerman,99,100,59,18,2022-10-22
505,Arctic Monkeys,100,94,94,34,2022-10-22
Te Felicito,Shakira & Rauw Alejandro,101,87,11,25,2022-10-22
Baby Otaku,Pablo Pesadilla x Polima Westcoast x Nicko OG,102,106,102,3,2022-10-22
Lovely,Billie Eilish & Khalid,103,105,70,110,2022-10-22
Sweet Child O' Mine,Guns N' Roses,104,101,57,79,2022-10-22
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,105,109,41,110,2022-10-22
Watermelon Sugar,Harry Styles,106,108,9,110,2022-10-22
Thank God,Kane Brown With Katelyn Brown,107,186,62,5,2022-10-22
Ojos Marrones,Lasso,108,107,66,15,2022-10-22
First Class,Jack Harlow,109,98,2,27,2022-10-22
Without Me,Eminem,110,113,39,53,2022-10-22
One Kiss,Calvin Harris & Dua Lipa,111,110,43,20,2022-10-22
Shallow,Lady Gaga & Bradley Cooper,112,126,59,110,2022-10-22
2 Be Loved (Am I Ready),Lizzo,113,111,101,6,2022-10-22
Vista Al Mar,Quevedo,114,118,114,4,2022-10-22
La Corriente,Bad Bunny & Tony Dize,115,96,17,23,2022-10-22
New Genesis,Ado,116,95,20,11,2022-10-22
No Role Modelz,J. Cole,117,128,97,69,2022-10-22
abcdefu,GAYLE,118,115,1,48,2022-10-22
Murder In My Mind,Kordhell,119,127,113,9,2022-10-22
Call Out My Name,The Weeknd,120,117,97,17,2022-10-22
Do I Wanna Know?,Arctic Monkeys,121,119,119,21,2022-10-22
I Was Never There,The Weeknd Featuring Gesaffelstein,122,124,119,12,2022-10-22
Circles,Post Malone,123,120,49,110,2022-10-22
How Do I Say Goodbye,Dean Lewis,124,166,124,2,2022-10-22
Miss You,Oliver Tree & Robin Schulz,125,-,125,1,2022-10-22
Viva La Vida,Coldplay,126,129,114,8,2022-10-22
Only Love Can Hurt Like This,Paloma Faith,127,123,75,22,2022-10-22
"Sex, Drugs, Etc.",Beach Weather,128,140,128,6,2022-10-22
Caile,Luar La L,129,112,67,9,2022-10-22
Ultra Solo,Polima WestCoast Featuring Pailita,130,116,24,24,2022-10-22
Counting Stars,OneRepublic,131,130,96,85,2022-10-22
Shinunoga E-Wa,Fujii Kaze,132,122,118,5,2022-10-22
MAMIII,Becky G X Karol G,133,125,4,35,2022-10-22
Punto 40,Rauw Alejandro & Baby Rasta,134,-,134,1,2022-10-22
Middle Of The Night,Elley Duhe,135,131,25,39,2022-10-22
Dance Monkey,Tones And I,136,132,16,110,2022-10-22
The Hills,The Weeknd,137,137,44,39,2022-10-22
Dynamite,BTS,138,134,1,110,2022-10-22
Belki,Dedubluman Featuring Mavzer Tabancas,139,102,102,2,2022-10-22
Wasted On You,Morgan Wallen,140,147,19,38,2022-10-22
Butter,BTS,141,146,1,73,2022-10-22
Smells Like Teen Spirit,Nirvana,142,145,92,91,2022-10-22
Poland,Lil Yachty,143,-,143,1,2022-10-22
Dark Red,Steve Lacy,144,135,132,31,2022-10-22
Take Me To Church,Hozier,145,152,123,86,2022-10-22
Atlantis,Seafret,146,143,140,7,2022-10-22
Everybody Wants To Rule The World,Tears For Fears,147,164,108,19,2022-10-22
Attention,NewJeans,148,121,54,10,2022-10-22
Where Are You Now,Lost Frequencies & Calum Scott,149,141,22,57,2022-10-22
Bohemian Rhapsody,Queen,150,148,97,106,2022-10-22
In Da Club,50 Cent,151,150,44,35,2022-10-22
Bound 2,Kanye West,152,138,104,6,2022-10-22
Something Just Like This,The Chainsmokers & Coldplay,153,142,102,93,2022-10-22
Dark Horse,Katy Perry Featuring Juicy J,154,-,154,1,2022-10-22
Lose Yourself,Eminem,155,160,25,36,2022-10-22
Love Nwantiti (Ah Ah Ah),CKay,156,149,2,57,2022-10-22
Bamba,Luciano & Aitch Featuring BIA,157,104,91,3,2022-10-22
I Really Want To Stay At Your House,Rosa Walton,158,114,114,3,2022-10-22
Take On Me,a-ha,159,169,139,58,2022-10-22
Good 4 U,Olivia Rodrigo,160,159,1,74,2022-10-22
All Too Well (Taylor's Version),Taylor Swift,161,155,1,30,2022-10-22
Every Breath You Take,The Police,162,162,107,31,2022-10-22
La Cancion,J Balvin & Bad Bunny,163,136,123,26,2022-10-22
Dakiti,Bad Bunny & Jhay Cortez,164,157,1,102,2022-10-22
The Real Slim Shady,Eminem,165,163,59,41,2022-10-22
Desesperados,Rauw Alejandro & Chencho Corleone,166,153,13,43,2022-10-22
Despues de La Playa,Bad Bunny,167,133,7,23,2022-10-22
Woman,Doja Cat,168,158,11,65,2022-10-22
Don't Start Now,Dua Lipa,169,139,30,110,2022-10-22
She Had Me At Heads Carolina,Cole Swindell,170,180,81,16,2022-10-22
Freestyle,Lil Baby,171,175,169,6,2022-10-22
Riptide,Vance Joy,172,161,130,65,2022-10-22
Overdose,natori,173,-,173,1,2022-10-22
Don't Stop Believin',Journey,174,167,125,91,2022-10-22
Don't You Worry,"Black Eyed Peas, Shakira + David Guetta",175,151,103,10,2022-10-22
When I Was Your Man,Bruno Mars,176,183,157,7,2022-10-22
Blank Space,Taylor Swift,177,179,157,18,2022-10-22
Normal,Feid,178,181,75,13,2022-10-22
Apocalypse,Cigarettes After Sex,179,174,174,3,2022-10-22
Dreams,Fleetwood Mac,180,190,10,105,2022-10-22
Mr. Brightside,The Killers,181,184,115,68,2022-10-22
Billie Jean,Michael Jackson,182,182,137,33,2022-10-22
Static,Steve Lacy,183,171,159,5,2022-10-22
Bad Guy,Billie Eilish,184,185,54,107,2022-10-22
Besos Moja2,Wisin & Yandel + Rosalia,185,178,178,2,2022-10-22
Somewhere Only We Know,Keane,186,195,186,2,2022-10-22
Hotel California,Eagles,187,176,132,94,2022-10-22
We Fell In Love In October,girl in red,188,154,154,2,2022-10-22
Yonaguni,Bad Bunny,189,177,3,71,2022-10-22
Thunderstruck,AC/DC,190,189,162,69,2022-10-22
Drivers License,Olivia Rodrigo,191,194,1,92,2022-10-22
My Universe,Coldplay x BTS,192,172,1,55,2022-10-22
World's Smallest Violin,AJR,193,191,189,6,2022-10-22
Thunder,Imagine Dragons,194,192,167,42,2022-10-22
After Dark,Mr.Kitty,195,-,195,1,2022-10-22
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),196,-,2,71,2022-10-22
Belly Dancer,Imanbek & BYOR,197,-,132,16,2022-10-22
Thinking Out Loud,Ed Sheeran,198,199,103,73,2022-10-22
Betty (Get Money),Yung Gravy,199,168,81,14,2022-10-22
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,200,-,148,10,2022-10-22
Unholy,Sam Smith & Kim Petras,1,1,1,4,2022-10-29
I'm Good (Blue),David Guetta & Bebe Rexha,2,2,2,8,2022-10-29
Under The Influence,Chris Brown,3,4,3,13,2022-10-29
As It Was,Harry Styles,4,3,1,29,2022-10-29
I Ain't Worried,OneRepublic,5,5,5,20,2022-10-29
La Bachata,Manuel Turizo,6,6,6,15,2022-10-29
Calm Down,Rema & Selena Gomez,7,11,7,16,2022-10-29
Bad Habit,Steve Lacy,8,10,8,15,2022-10-29
Me Porto Bonito,Bad Bunny & Chencho Corleone,9,7,2,24,2022-10-29
Titi Me Pregunto,Bad Bunny,10,8,4,24,2022-10-29
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,11,9,1,15,2022-10-29
Cuff It,Beyonce,12,12,12,12,2022-10-29
Kick Back,Kenshi Yonezu,13,64,13,2,2022-10-29
Another Love,Tom Odell,14,16,14,77,2022-10-29
California Breeze,Lil Baby,15,-,15,1,2022-10-29
Super Freaky Girl,Nicki Minaj,16,14,5,10,2022-10-29
Despecha,Rosalia,17,15,6,12,2022-10-29
Shut Down,BLACKPINK,18,13,1,5,2022-10-29
Miss You,Oliver Tree & Robin Schulz,19,125,19,2,2022-10-29
Snap,Rosa Linn,20,20,18,15,2022-10-29
Real Spill,Lil Baby,21,-,21,1,2022-10-29
Efecto,Bad Bunny,22,17,7,24,2022-10-29
Forever,Lil Baby Featuring Fridayy,23,-,23,1,2022-10-29
Heat Waves,Glass Animals,24,19,1,94,2022-10-29
Something In The Orange,Zach Bryan,25,23,23,25,2022-10-29
Save Your Tears,The Weeknd & Ariana Grande,26,22,1,94,2022-10-29
Pink Venom,BLACKPINK,27,18,1,9,2022-10-29
Pop Out,Lil Baby & Nardo Wick,28,-,28,1,2022-10-29
Poland,Lil Yachty,29,143,29,2,2022-10-29
Ojitos Lindos,Bad Bunny & Bomba Estereo,30,21,4,24,2022-10-29
No Se Va,Grupo Frontera,31,39,31,4,2022-10-29
Never Hating,Lil Baby & Young Thug,32,-,32,1,2022-10-29
Sweater Weather,The Neighbourhood,33,25,25,108,2022-10-29
Bones,Imagine Dragons,34,32,32,32,2022-10-29
Subtitle,Official HIGE DANdism,35,-,35,1,2022-10-29
Stand On It,Lil Baby,36,-,36,1,2022-10-29
Moscow Mule,Bad Bunny,37,24,2,24,2022-10-29
Heyy,Lil Baby,38,-,38,1,2022-10-29
Not Finished,Lil Baby,39,-,39,1,2022-10-29
Stay,The Kid LAROI & Justin Bieber,40,27,1,67,2022-10-29
Romantic Homicide,d4vd,41,35,35,7,2022-10-29
Die For You,The Weeknd,42,36,36,33,2022-10-29
Sunroof,Nicky Youre & dazy,43,29,26,22,2022-10-29
Cold Heart (PNAU Remix),Elton John & Dua Lipa,44,31,3,62,2022-10-29
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,45,28,21,4,2022-10-29
Shivers,Ed Sheeran,46,43,3,58,2022-10-29
Blinding Lights,The Weeknd,47,38,2,111,2022-10-29
Glimpse Of Us,Joji,48,33,2,19,2022-10-29
Hold Me Closer,Elton John & Britney Spears,49,26,6,8,2022-10-29
I Like You (A Happier Song),Post Malone Featuring Doja Cat,50,37,7,20,2022-10-29
Neverita,Bad Bunny,51,30,16,24,2022-10-29
Levitating,Dua Lipa,52,41,2,107,2022-10-29
In A Minute,Lil Baby,53,-,27,16,2022-10-29
Until I Found You,Stephen Sanchez,54,47,44,23,2022-10-29
Provenza,Karol G,55,40,6,26,2022-10-29
Bye Bye,Marshmello & Juice WRLD,56,-,56,1,2022-10-29
Left And Right,Charlie Puth Featuring Jung Kook,57,34,5,17,2022-10-29
About Damn Time,Lizzo,58,44,6,27,2022-10-29
Jimmy Cooks,Drake Featuring 21 Savage,59,45,3,18,2022-10-29
Running Up That Hill (A Deal With God),Kate Bush,60,42,1,21,2022-10-29
Perfect Timing,Lil Baby,61,-,61,1,2022-10-29
Late Night Talking,Harry Styles,62,46,2,22,2022-10-29
Perfect,Ed Sheeran,63,54,30,111,2022-10-29
